date,AAPL,MSFT,NVDA,TSLA
2018-01-02,40.38100051879883,79.19833374023438,4.928805828094482,21.368667602539062
2018-01-03,40.37397384643555,79.56689453125,5.253191947937012,21.149999618530273
2018-01-04,40.561500549316406,80.2672119140625,5.280883312225342,20.974666595458984
2018-01-05,41.02328872680664,81.26238250732422,5.325633525848389,21.10533332824707
2018-01-08,40.87093734741211,81.34528350830078,5.488814353942871,22.42733383178711
2018-01-09,40.866233825683594,81.2900161743164,5.487330913543701,22.246000289916992
2018-01-10,40.85686111450195,80.92144775390625,5.530352592468262,22.31999969482422
2018-01-11,41.08893966674805,81.16102600097656,5.5402421951293945,22.530000686645508
2018-01-12,41.51322937011719,82.56158447265625,5.513045787811279,22.4146671295166
2018-01-16,41.30226135253906,81.4098129272461,5.442083358764648,22.67066764831543
2018-01-17,41.98442077636719,83.05917358398438,5.556065559387207,23.143999099731445
2018-01-18,42.02191925048828,83.02233123779297,5.549143314361572,22.971332550048828
2018-01-19,41.83439254760742,82.9301986694336,5.689330577850342,23.334667205810547
2018-01-22,41.492149353027344,84.41372680664062,5.777843952178955,23.437332153320312
2018-01-23,41.501529693603516,84.68094635009766,5.906904220581055,23.519332885742188
2018-01-24,40.840457916259766,84.60722351074219,5.830010890960693,23.05933380126953
2018-01-25,40.11141586303711,85.07717895507812,5.8436102867126465,22.50933265686035
2018-01-26,40.20518493652344,86.67124938964844,6.016186237335205,22.856666564941406
2018-01-29,39.37299728393555,86.54227447509766,6.10321569442749,23.302000045776367
2018-01-30,39.14091873168945,85.45494079589844,6.00110387802124,23.05466651916504
2018-01-31,39.248748779296875,87.546630859375,6.077256679534912,23.62066650390625
2018-02-01,39.330806732177734,86.8555679321289,5.9462175369262695,23.28333282470703
2018-02-02,37.62422561645508,84.57036590576172,5.7736406326293945,22.916667938232422
2018-02-05,36.684207916259766,81.08728790283203,5.283602714538574,22.208667755126953
2018-02-06,38.21730422973633,84.15571594238281,5.577327728271484,22.264667510986328
2018-02-07,37.39918899536133,82.57081604003906,5.656940460205078,23.0
2018-02-08,36.370079040527344,78.3321762084961,5.378049850463867,21.01533317565918
2018-02-09,36.814945220947266,81.2531509399414,5.738036155700684,20.69466781616211
2018-02-12,38.29779815673828,82.1285400390625,5.63790225982666,21.048667907714844
2018-02-13,38.68147659301758,82.77352905273438,5.751636028289795,21.577333450317383
2018-02-14,39.394649505615234,84.06964111328125,5.968963146209717,21.487333297729492
2018-02-15,40.71744918823242,85.78230285644531,6.09456205368042,22.271333694458008
2018-02-16,40.58564376831055,85.1712875366211,6.02879524230957,22.365999221801758
2018-02-20,40.44913101196289,85.83785247802734,6.158352375030518,22.31800079345703
2018-02-21,40.26553726196289,84.69915008544922,5.971189022064209,22.219999313354492
2018-02-22,40.60212707519531,84.92134857177734,5.990731716156006,23.077999114990234
2018-02-23,41.308250427246094,87.07841491699219,6.084249019622803,23.469999313354492
2018-02-26,42.125,88.33744812011719,6.100329399108887,23.827999114990234
2018-02-27,41.988487243652344,87.20800018310547,6.087464809417725,23.39933204650879
2018-02-28,41.92493438720703,86.80992126464844,5.987020492553711,22.87066650390625
2018-03-01,41.1905517578125,85.95819091796875,5.744818210601807,22.062000274658203
2018-03-02,41.47536849975586,86.14337921142578,5.851943016052246,22.341333389282227
2018-03-05,41.61893081665039,86.68956756591797,5.829923152923584,22.22333335876465
2018-03-06,41.58363342285156,86.39331817626953,5.9909796714782715,21.8799991607666
2018-03-07,41.1976203918457,86.89324188232422,5.983063220977783,22.15333366394043
2018-03-08,41.64717483520508,87.42093658447266,5.966734409332275,21.940000534057617
2018-03-09,42.36272048950195,89.37432098388672,6.0694050788879395,21.81133270263672
2018-03-12,42.77227020263672,89.58726501464844,6.179001808166504,23.034000396728516
2018-03-13,42.3603630065918,87.4024429321289,6.1282854080200195,22.78933334350586
2018-03-14,42.0002555847168,86.8840103149414,6.1537675857543945,21.775333404541016
2018-03-15,42.04967498779297,87.18948364257812,6.1686110496521,21.706666946411133
2018-03-16,41.901397705078125,87.57831573486328,6.196815013885498,21.42333221435547
2018-03-19,41.26118469238281,85.9952392578125,5.962281227111816,20.90399932861328
2018-03-20,41.24704360961914,86.21743774414062,6.174548149108887,20.703332901000977
2018-03-21,40.312618255615234,85.61568450927734,6.149314880371094,21.101999282836914
2018-03-22,39.74300765991211,83.12535095214844,5.983308792114258,20.606666564941406
2018-03-23,38.82268524169922,80.70906829833984,5.763620853424072,20.1026668548584
2018-03-26,40.66567611694336,86.8191909790039,6.048373222351074,20.278667449951172
2018-03-27,39.62297821044922,82.82907104492188,5.579309940338135,18.61199951171875
2018-03-28,39.1851692199707,82.75503540039062,5.476144790649414,17.185333251953125
2018-03-29,39.49116134643555,84.49547576904297,5.729480266571045,17.742000579833984
2018-04-02,39.23224639892578,81.94961547851562,5.468723773956299,16.832000732421875
2018-04-03,39.634727478027344,83.05130004882812,5.575105667114258,17.8353328704834
2018-04-04,40.39263916015625,85.47681427001953,5.597122669219971,19.12933349609375
2018-04-05,40.6727409362793,85.52308654785156,5.476886749267578,20.381332397460938
2018-04-06,39.63238525390625,83.5326919555664,5.300492763519287,19.953332901000977
2018-04-09,40.02546310424805,84.03260803222656,5.329189777374268,19.310667037963867
2018-04-10,40.77866744995117,85.98597717285156,5.638437747955322,20.31333351135254
2018-04-11,40.58799362182617,85.04167938232422,5.597122669219971,20.062000274658203
2018-04-12,40.98814392089844,86.63402557373047,5.803947448730469,19.60533332824707
2018-04-13,41.127010345458984,86.17115783691406,5.7272539138793945,20.022666931152344
